w,coin,nL,nS,medL,medS,perday
0x86407633391ae5d311f909fdc20ff976e5f85e2b,BTC,48,47,14.0,12.0,0.5
0xd08a691450aeb87764be1def62ee6b7802a463f0,BTC,70,34,13.0,26.0,0.5
0x3c43014aedbb496e173059f94bfe3b0ed1d55ba0,ETH,50,43,6.0,5.0,0.5
0x295a43d847250b38b6baec2b40ada09eba521fb6,SOL,50,55,11.0,37.0,0.5
0xda14a2da1d0658dd48f306203e9269cd0619a5f8,BTC,60,30,2.0,5.0,0.5
0x0fd3c3f312c6cf9f5c4da31b428b5a0a1611fda6,BTC,61,43,6.0,13.0,0.5
0x29beb5730fd96ffff2ca3141069bd58da8b1e711,BTC,42,60,1.0,9.0,0.5
0xb1e8ef9d3732c55790411b341fc2164a87c433fc,HYPE,45,58,14.0,4.0,0.5
0x87d02fc0d31399225313c8f3420a4c07d0973920,XMR,38,51,23.0,28.0,0.5
0x901a211eaf0143bf14aea5f9f435c0f917a1bcff,BTC,60,37,3.0,24.0,0.5
0x8fde7b5bfd905513d8d373ae6039be00345052ae,ETH,55,50,20.0,9.0,0.5
0x801f99e5a25d128e3a3cd576edb7430eb50d4746,xyz:SILVER,51,37,12.0,33.0,0.5
0x6b49c5c50f57c5be7287ae2ccd9a8c17632434c3,BTC,57,33,4.0,12.0,0.5
0x018c201555ff31ecbdd275a6db99cf9e450b086f,BTC,43,47,23.0,54.0,0.5
0x88b33395d25960a0ec6db5459554c072f6e0c349,BTC,48,53,5.0,11.0,0.5
0xa0e35b05d0e6fd762785419cc9f333d952e6a82c,BTC,44,44,17.0,10.0,0.5
0x62a3523f8c878ab05d65ee02a66d05bc1dde8cd5,xyz:SILVER,42,49,11.0,6.0,0.5
0x690a9f2d75c0db3a45ff58bc7f355829b836eee5,SOL,40,49,20.0,24.0,0.5
0xa34be2b5349a9e1592dfa962b9fd8d08160e957e,SOL,41,53,11.0,27.0,0.5
0xa431cd834d9ac298fec95a7f05faae8a3df347c9,ETH,57,46,20.0,21.0,0.5
0x50daf7f4824e0e44b9295e339e0b33a048054519,BTC,41,46,10.0,1.0,0.5
0x507e507796c7756ed5a195e9f7cf52bc39009e1d,FARTCOIN,43,55,135.0,66.0,0.5
0x4f379d9aaf44f2adc4b6c4ff927b59b97d105228,ETH,43,48,11.0,8.0,0.5
0x4e03f6eb88070a3243669a200032688df0b6cc77,ETH,49,43,1.0,12.0,0.5
0x0827212b514cb8205916928e7d11fb6bb5487cb9,ETH,38,64,8.0,6.0,0.5
0x20a6ad860b6c07e6de02544919947aafb5f32be7,BRETT,40,60,2.0,44.0,0.5
0x0a492daa720d391fe69608ca7ecdaf538dec38e0,BTC,56,46,30.0,27.0,0.5
0x624c4ca37e1403ad1a03cf75e98a5eb7b921ec1c,xyz:CL,59,31,26.0,12.0,0.5
0x135006d388b4e880144a4d6e98c0776d3c72e387,ETH,39,42,21.0,15.0,0.4
0x1ea8dc06617e00e81604d157f3c8ae9ec6ddb4a0,BTC,45,36,7.0,19.0,0.4
0xf3bb4f155be935b0d4a2726bf3298b5152c970e3,BTC,49,37,0.0,19.0,0.4
0x124da7585c5a2110258030a21d25e40e90cfdfaa,BTC,32,41,11.0,2.0,0.4
0x8b60c31d9f3ebfc6e9b750913e33e6805210bd1c,ETH,37,41,34.0,20.0,0.4
0x3a82bccbeda24b3811626947a60d3aa959232470,BTC,39,31,9.0,18.0,0.4
0x2346610debdff5b237a746709d326ae2eacca0e0,ETH,31,42,7.0,13.0,0.4
0x3c4b5bdb7b210a8899d70e40a6ce31ffff4b99a1,BTC,39,39,5.0,3.0,0.4
0x9090848cdbc2e2112c18db05e4735117d2320f62,BTC,35,35,42.0,12.0,0.4
0x90dfc8ba51912291e9edfc017e4af5a1eef0e794,FARTCOIN,41,34,12.0,12.0,0.4
0x9330e0935f2ce400ff35610d0be7e4e09aef0470,ETH,32,44,22.0,18.0,0.4
0x59418b287bbd45959b87ecc993a166ffa18c929f,SOL,40,40,47.0,49.0,0.4
0x971bfd5148f42ccfbb21bafe962e09b766c65b13,SOL,45,38,1.0,8.0,0.4
0xadfd460807f0dbb9fb57e9912a30969eff469812,BTC,42,35,5.0,8.0,0.4
0x4507e40578e79e5a59123c6e7a77424225433ebf,BTC,30,44,7.0,9.0,0.4
0xb8cb2852cd1db7ebd16c25a76b648edca3f521b7,BTC,44,39,13.0,1.0,0.4
0x3d1a613614b4b19115ee9d1dcddd47c629a25022,BTC,41,34,13.0,30.0,0.4
0xc445b9e286781bf13bf8674fc62fa6839b85372f,BTC,36,35,5.0,8.0,0.4
0x2f554cc12f7fc113288e3d0153891973651fee59,BTC,41,35,1.0,2.0,0.4
0x2b65629ece148099d3020fa641af7023e2da64e8,BTC,36,35,1.0,1.0,0.4
0xd2eb648da047866d2eb5c0a91a5e1a428fd63b8d,ZEC,37,43,7.0,2.0,0.4
0xd406386a4f5a6a3377acc50b102a8e2130bb0e26,BTC,43,40,3.0,9.0,0.4
0x6deab1a2ce82960491333c2cd4f6d2662668f27b,ETH,38,48,15.0,19.0,0.4
0xd9c8e0d000e09de2ccb8b4808c699a7f8b51d661,BTC,31,32,10.0,7.0,0.3
0x100caefdee7e490ad26befd1a6bf4de3ceb9d719,HYPE,31,34,61.0,74.0,0.3
0xb8764281ad868dffdad82d098eb9c614946ab980,BTC,31,33,4.0,23.0,0.3
0x741cdb635852cef100ce3a809ac10832f0a842c2,BTC,34,31,3.0,6.0,0.3
0x2a98b24ae9ad3fa0596187a30ba4f42d5843563f,GALA,34,30,14.0,3.0,0.3
0x934c8b08a12a2c06641de0e5755fcf77ef609db8,HYPE,31,31,22.0,0.0,0.3
0xe318393c354a9820aa8664118b47e7814948f4a1,BTC,33,31,13.0,23.0,0.3
